frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.77,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.77,1,0.00,0.00,0.00,0.16,0.16,0.38,0.00,0.00,0.14,0.00,0.14,0.42,0.18,0.26,0.28,1.51,0.11,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
3,0,0.067,0.77,1,0.00,0.00,0.00,0.28,0.23,0.50,0.00,0.00,0.21,0.00,0.14,0.68,0.18,0.36,0.28,2.36,0.33,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
4,0,0.100,0.77,1,0.00,0.00,0.00,0.29,0.10,0.26,0.00,0.00,0.10,0.00,0.00,0.75,0.03,0.18,0.00,2.35,0.35,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
5,0,0.133,0.82,1,0.00,0.00,0.00,0.31,0.08,0.13,0.00,0.00,0.17,0.00,0.00,0.97,0.00,0.12,0.00,2.40,0.44,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
6,0,0.167,0.82,1,0.00,0.00,0.00,0.18,0.04,0.00,0.00,0.00,0.20,0.00,0.13,1.23,0.00,0.18,0.00,2.44,0.27,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
7,0,0.200,0.82,1,0.00,0.00,0.00,0.11,0.08,0.00,0.00,0.00,0.34,0.00,0.15,1.19,0.00,0.24,0.00,2.50,0.19,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
8,0,0.234,0.82,1,0.00,0.00,0.00,0.00,0.21,0.18,0.00,0.00,0.46,0.01,0.15,0.76,0.00,0.24,0.00,2.39,0.05,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
9,0,0.267,0.82,1,0.01,0.00,0.00,0.00,0.38,0.48,0.00,0.00,0.60,0.03,0.02,0.25,0.00,0.08,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
10,0,0.300,0.88,1,0.05,0.00,0.00,0.00,0.47,0.61,0.00,0.00,0.74,0.19,0.00,0.00,0.00,0.00,0.01,1.75,0.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
11,0,0.334,0.77,1,0.05,0.00,0.00,0.00,0.49,0.74,0.00,0.00,0.81,0.26,0.00,0.00,0.00,0.00,0.04,1.53,0.51,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
12,0,0.367,0.77,1,0.04,0.00,0.00,0.00,0.36,0.65,0.00,0.00,0.85,0.34,0.00,0.00,0.00,0.00,0.05,1.39,0.96,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
13,0,0.400,0.77,1,0.00,0.00,0.00,0.00,0.44,0.72,0.00,0.00,0.90,0.18,0.00,0.00,0.00,0.00,0.05,1.25,1.13,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
14,0,0.434,0.77,1,0.00,0.00,0.00,0.00,0.55,0.49,0.00,0.00,0.90,0.22,0.00,0.00,0.00,0.00,0.10,1.23,0.89,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00
15,0,0.467,0.77,1,0.00,0.00,0.00,0.00,0.78,0.41,0.00,0.00,0.88,0.39,0.00,0.00,0.00,0.00,0.09,1.22,0.80,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00
16,0,0.501,0.77,1,0.00,0.00,0.00,0.00,0.82,0.40,0.00,0.00,0.77,0.64,0.00,0.00,0.00,0.00,0.09,1.01,0.90,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
17,0,0.534,0.77,1,0.00,0.00,0.00,0.00,0.95,0.54,0.00,0.00,0.77,0.75,0.00,0.00,0.00,0.00,0.17,1.07,1.13,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
18,0,0.567,0.77,1,0.00,0.00,0.00,0.00,1.15,0.69,0.00,0.00,0.91,0.91,0.00,0.00,0.00,0.00,0.18,0.95,0.86,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
19,0,0.601,0.82,1,0.00,0.00,0.00,0.00,1.38,0.74,0.00,0.00,1.16,1.02,0.00,0.02,0.00,0.00,0.18,0.95,0.55,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
20,0,0.634,0.88,1,0.00,0.00,0.00,0.00,1.54,0.94,0.00,0.00,1.34,1.07,0.00,0.02,0.00,0.00,0.01,0.45,0.33,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
21,0,0.667,0.88,1,0.00,0.00,0.00,0.08,1.61,1.12,0.00,0.00,1.46,0.98,0.00,0.02,0.00,0.00,0.00,0.27,0.40,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
22,0,0.701,0.82,1,0.00,0.00,0.00,0.08,1.69,1.18,0.00,0.00,1.38,1.06,0.00,0.00,0.00,0.00,0.00,0.22,0.65,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
23,0,0.734,0.88,1,0.00,0.00,0.00,0.08,1.60,0.84,0.00,0.00,1.30,1.05,0.00,0.00,0.00,0.00,0.00,0.22,0.76,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
24,0,0.767,0.77,1,0.00,0.00,0.00,0.00,1.46,0.64,0.00,0.00,1.19,0.96,0.00,0.00,0.00,0.00,0.05,0.10,0.81,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
25,0,0.801,0.77,1,0.00,0.07,0.00,0.00,1.40,0.87,0.00,0.02,1.23,0.69,0.00,0.00,0.00,0.00,0.26,0.00,0.57,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
26,0,0.834,0.77,1,0.00,0.07,0.00,0.27,1.43,1.16,0.00,0.14,1.23,0.65,0.00,0.00,0.00,0.00,0.62,0.00,0.57,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
27,0,0.868,0.82,1,0.00,0.07,0.00,0.39,1.48,1.32,0.00,0.22,1.22,0.66,0.00,0.00,0.00,0.00,0.88,0.00,0.79,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
